chain,token0,token1,name
137,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,"USDC-WETH"
137,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,"WMATIC-WETH"
137,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,"WMATIC-USDC"
137,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,"WMATIC-USDT"
137,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,"WETH-USDT"
137,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,"WETH-DAI"

250,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x74b23882a30290451a17c44f4f05243b6b58c76d,"WFTM-ETH"
250,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,"WFTM-DAI"
250,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x74b23882a30290451a17c44f4f05243b6b58c76d,"USDC-ETH"
250,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,"USDC-WFTM"
250,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,"USDC-DAI"
250,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,"fUSDT-WFTM"
250,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,"fUSDT-DAI"
